Exp_A,Exp_B,Exp_C
0.7673687885822564,0.7662817796538335,0.7581601085278211
0.8627333734506037,0.8624008081156054,0.8308522017929201
0.792631602350868,0.7923186597081546,0.7565990260808457
0.8459668298361621,0.8452776745489581,0.8155830947018314
0.83457160623805,0.8330099299164915,0.7963198868007653
0.7178542811616504,0.7188584648810203,0.6181666436096142
0.7714001818647896,0.7700136244991476,0.7202602577123828
0.7138218271541645,0.7133907810584008,0.6806644748480076
0.7906890892623093,0.7910801527097255,0.7752170347525454
0.7503647644802368,0.7512936751822792,0.6845852840335624
0.7933094693960541,0.7928774431407097,0.7628125525068944
0.7679040924031864,0.7690627797487606,0.73880326752969
0.7914530819495882,0.7908498624516571,0.7682589832425909
0.8303733231674553,0.8299731746648823,0.8388056301383358
0.7875737849711517,0.7849186913546747,0.7239566531122161
0.8298462248839322,0.8274787400507706,0.800958889653901
0.8519899605833796,0.8496125389857621,0.81950266459678
0.814151607782278,0.8156570864407682,0.8047806503731795
0.8144840262384242,0.8135548016457076,0.7905805519825707
0.7303862615521111,0.7320327664651365,0.6997332287752493
0.8726365809394226,0.8711308648979906,0.850497027734341
0.7751792844865704,0.773582706032641,0.7124522847555814
0.8093720552028283,0.8082349485466358,0.7685240905068543
0.7970526086944243,0.7970590989379225,0.7544619095104097
0.7955187944306928,0.7965573701017029,0.7339532593232032
0.8109897463647038,0.8075871982543874,0.7570013364064471
0.8003938872475646,0.7967603759788355,0.7537707677251919
0.8006797094794406,0.7993362520492352,0.7811793856368181
0.8202040439711543,0.8205913525674036,0.7979961430720388
0.8478304853784973,0.8482563658397659,0.8207724115691849
0.7968323015029977,0.7978622517953549,0.7632181007720011
0.8219737077393041,0.819966191682253,0.7577693620230525
0.791053243692534,0.7893202307054855,0.7506022342215704
0.8526982684773133,0.8526744604381665,0.8126567065122837
0.7733499080709005,0.7719354508310579,0.7102639221909963
0.7799831836142587,0.78022851180948,0.7351883367386797
0.814366980181148,0.8144195307281851,0.7772771048115042
