Model,R2_inner_mean,R2_inner_std,MAE_inner_mean,Mode,Fold
ET+XGB,0.6729612075985735,0.04930854592933623,0.5583891870189702,morgan,3
ET+kNN,0.647847898951063,0.04488071072774821,0.5667916872371908,morgan,3
kNN,0.6092241212743182,0.04150695862431644,0.5924874013847934,morgan,3
ET,0.5449384693684439,0.08609340726520943,0.6108657487440963,morgan,3
LGBM+SVM,0.7317448038000054,0.04643366182240799,0.5185125101376407,morgan,4
LGBM+XGB+SVM,0.7303289344742255,0.04932455758356339,0.5246337530093003,morgan,4
ET+LGBM+SVM,0.7299636745907673,0.04531893634399711,0.5222589195014884,morgan,4
RF+LGBM+SVM,0.7297712389559914,0.04832664651336039,0.5180162847513824,morgan,4
SVM,0.7284636953408307,0.0421781621715556,0.5246047393348439,morgan,4
RF+ET+SVM,0.7281797955229096,0.04596959972734613,0.5213256717394794,morgan,4
LGBM+SVM+kNN,0.7274673529400003,0.05230619520330362,0.5225011211188235,morgan,4
RF+SVM,0.7260353104276357,0.04595481144255797,0.5217657107683296,morgan,4
XGB+SVM,0.7256385055417978,0.046825460822619694,0.5289008903661682,morgan,4
ET+SVM,0.724074155437161,0.04346476385035781,0.5285477461031711,morgan,4
XGB+SVM+kNN,0.723947151971257,0.05419080456479153,0.5287100607994206,morgan,4
SVM+kNN,0.7232980323371665,0.051609988968793236,0.5278070260880925,morgan,4
ET+XGB+SVM,0.7221769671182656,0.04715351046678018,0.535363097357715,morgan,4
RF+SVM+kNN,0.7220885168620186,0.05146992153600159,0.5259254690053153,morgan,4
ET+SVM+kNN,0.7215023447113248,0.05057521504725703,0.5332589620142001,morgan,4
RF+XGB+SVM,0.7213689821929601,0.04988551592261417,0.530508454758149,morgan,4
LGBM+XGB+kNN,0.717370718899043,0.05829919961586232,0.5314641764851616,morgan,4
RF+ET+LGBM,0.7164211658556207,0.04810538322590391,0.5276055625591012,morgan,4
LGBM+XGB,0.7145558330492572,0.04754503482073453,0.5432418254843638,morgan,4
RF+LGBM+kNN,0.7134143631285158,0.057846686658298466,0.5302771836184956,morgan,4
RF+LGBM,0.7128805541389662,0.04939974870804257,0.5295089989977401,morgan,4
RF+LGBM+XGB,0.7124871037194361,0.05156960180774452,0.5337824058966794,morgan,4
LGBM+kNN,0.7118917374201661,0.05543348426342773,0.5337071002330833,morgan,4
ET+LGBM+kNN,0.7095672459334367,0.05513684880342961,0.5368355296688709,morgan,4
ET+LGBM+XGB,0.7085542157597094,0.046891935521101186,0.5483902818775512,morgan,4
LGBM,0.706622863676893,0.03977342122985338,0.546493650424541,morgan,4
XGB+kNN,0.7063344489905103,0.05965632482125733,0.5459993825112006,morgan,4
RF+XGB+kNN,0.705961153526152,0.05954897052624596,0.5401086688632206,morgan,4
RF+ET+XGB,0.7047984143320865,0.05057129243768106,0.542198104070924,morgan,4
RF+ET+kNN,0.7031578013919381,0.05972668198759351,0.5406490348308413,morgan,4
RF+kNN,0.7009552018605215,0.05902339699900999,0.5413539878617069,morgan,4
ET+XGB+kNN,0.7009170565262781,0.05901900985745961,0.5538212887937295,morgan,4
ET+LGBM,0.7004157467438797,0.0384463976681006,0.5506004125425135,morgan,4
RF+ET,0.7000760483914468,0.04994985318374736,0.5409035241580515,morgan,4
RF+XGB,0.6992898389944715,0.053692149192174125,0.5449412117435728,morgan,4
RF,0.6926825391072503,0.050712386654232694,0.543872738104991,morgan,4
XGB,0.6752966731320718,0.05963031235820276,0.5673368808755105,morgan,4
ET+kNN,0.6723409783828729,0.057959593866544694,0.5760678236151069,morgan,4
ET+XGB,0.6710095407333169,0.06011920322486995,0.58843243067126,morgan,4
kNN,0.6561061234844369,0.0669746039428934,0.5750681620710744,morgan,4
ET,0.4789109032761248,0.17548369705413874,0.6383907315424955,morgan,4
XGB+SVM+kNN,0.7402834401822164,0.04228624035642388,0.4816744246907021,morgan,5
XGB+SVM,0.7369230626105987,0.0439424317550309,0.48572806767126214,morgan,5
RF+XGB+SVM,0.7360753640183655,0.04303066870829982,0.48253282216480786,morgan,5
ET+XGB+SVM,0.7355187966341395,0.04427033968640032,0.48493819781068676,morgan,5
SVM,0.7353687923169783,0.025482216755505775,0.4910948389399567,morgan,5
SVM+kNN,0.7344395907870874,0.03603180933059305,0.4920754329137128,morgan,5
ET+SVM,0.7330356342064265,0.03654643263896742,0.4892693686288229,morgan,5
RF+SVM,0.7326814290232655,0.03846566510739797,0.48702752520653103,morgan,5
RF+SVM+kNN,0.732632857038227,0.03984734561533698,0.48683027537047757,morgan,5
ET+SVM+kNN,0.7324304354140642,0.03737666416949384,0.49049563002160623,morgan,5
LGBM+XGB+SVM,0.731859924430035,0.05482165502317483,0.4907351431637201,morgan,5
LGBM+SVM+kNN,0.7314872322098666,0.045574313505668616,0.4964254726263775,morgan,5
RF+ET+SVM,0.7305386618240359,0.038124473023362485,0.48813200995810907,morgan,5
LGBM+XGB+kNN,0.729924532593801,0.05075760837874208,0.492461226369368,morgan,5
LGBM+SVM,0.7282031691999425,0.046668181721877006,0.5016602598990583,morgan,5
RF+XGB+kNN,0.727915175897873,0.04444656984596311,0.4886298131909923,morgan,5
XGB+kNN,0.7272003436987393,0.046105582369909685,0.4952328111492518,morgan,5
ET+LGBM+SVM,0.7266453848405836,0.04925670788804815,0.49681772603393465,morgan,5
RF+LGBM+SVM,0.7265374591571372,0.04812431238867396,0.49336505876499787,morgan,5
ET+XGB+kNN,0.7264055289977465,0.04655056431267468,0.49493198903252544,morgan,5
LGBM+XGB,0.7185996576059994,0.05832385942026341,0.5023279594855008,morgan,5
RF+LGBM+XGB,0.7185992778703184,0.05546072787041506,0.4965280241219842,morgan,5
RF+XGB,0.7173017175183105,0.04977441428278349,0.49487864474011545,morgan,5
ET+LGBM+XGB,0.7168189040019357,0.058575318295631985,0.500790977940057,morgan,5
RF+ET+XGB,0.7163178631902115,0.047285411725983405,0.496529878858853,morgan,5
RF+LGBM+kNN,0.715773244461577,0.04404547095097957,0.5029880938884937,morgan,5
RF+kNN,0.7137508865729723,0.03850222135907397,0.503597130127955,morgan,5
ET+LGBM+kNN,0.7129452010744863,0.04523644199325451,0.5103895221920718,morgan,5
LGBM+kNN,0.7128597338952319,0.03994853772882344,0.5139921098376099,morgan,5
RF+ET+kNN,0.7120834546048712,0.03754623493551814,0.5045434230936527,morgan,5
RF+LGBM,0.7064310428323597,0.04894487142527856,0.5081736053761434,morgan,5
RF,0.7060649686869314,0.04117153726828194,0.5061966947368678,morgan,5
RF+ET+LGBM,0.7050457742116765,0.047779797756720026,0.5099971822152782,morgan,5
LGBM,0.7040573861124878,0.05549644446572247,0.5202124548521913,morgan,5
RF+ET,0.7016464476050699,0.04112520637271984,0.5108002983791395,morgan,5
ET+XGB,0.6994837589838158,0.06337729903319989,0.5113603075346033,morgan,5
XGB,0.6961816708230216,0.07784097232595817,0.5103535194351103,morgan,5
ET+LGBM,0.6958890757987972,0.05491113092579709,0.5249220310043465,morgan,5
ET+kNN,0.6890942274093561,0.039109756106622956,0.5351826381625067,morgan,5
kNN,0.6712274649667435,0.032314631330797865,0.5480148430111184,morgan,5
ET,0.5646837197260771,0.10912597887498408,0.5872752982716921,morgan,5
RF+LGBM+SVM,0.7246137997409368,0.04515493516912994,0.48532789903329937,morgan,6
RF+SVM,0.7210301959402428,0.0455696942037859,0.48661333380344063,morgan,6
RF+ET+SVM,0.7199354152821409,0.04089567336063793,0.48931832746663806,morgan,6
